P_NAME,P_DETECTION,P_DISCOVERY_FACILITY,P_YEAR,P_UPDATE,P_MASS,P_MASS_ORIGIN,P_RADIUS,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_INCLINATION,P_OMEGA,S_NAME,S_NAME_HD,S_NAME_HIP,S_TYPE,S_RA,S_DEC,S_RA_STR,S_DEC_STR,S_MAG,S_DISTANCE,S_TEMPERATURE,S_MASS,S_RADIUS,S_METALLICITY,S_AGE,S_LOG_LUM,S_LOG_G,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_TYPE,S_TYPE_TEMP,S_RA_TXT,S_DEC_TXT,S_LUMINOSITY,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG,ESI,Gravitational_Retention,Habitability_Score
906,8,40,0.904761904761898,259,0.0017738302254728916,3,0.10746659190729836,6.433824567452136e-06,0.00028475638074640077,0.7673076923076922,0.5334505341653304,0.42978849437262623,678,396,76,48,0.9607396072568527,0.5025721743675456,4065,2910,0.26568441212021976,0.015097303613886297,0.4581736909323117,0.48571428571428565,0.13842482100238662,0.4112554112554112,0.5841675650700754,0.6039045553145337,0.5837104072398192,0.07933614727509393,0.0087854247666068,0.02447048055918113,0.013517832185580846,1.5174678138164276e-05,0.0003103242956327899,0.00015849708088073327,0.00041101624559126645,0.00029151071122873805,0.10358047530088367,0.5474623401667766,0.583395107282509,4,3,4065,2910,0.01490376228875523,0.1178091479689741,0.0023970669937716594,0.7720649019887966,0.0,0.0,1,0.0,65,66,26,0.41774704617829544,1.559554538313792,0.1670988184713182
755,8,63,0.1904761904761898,183,0.05115413538675995,3,0.6443323053920194,0.0030294609508844514,0.018946469190376593,0.2115384615384615,0.5201173296241206,0.3201331056831248,568,252,649,98,0.7702696100691442,0.5729836024381998,1728,227,0.29235251762420666,0.016454839437467096,0.43837803320561947,0.4666666666666667,0.12649164677804295,0.7792207792207793,0.5148621592484214,0.5822125813449025,0.592760180995475,0.20588384941778554,0.047964417165379955,0.024045361114513768,0.0023107455510140624,0.004969631579339545,0.019061255088877384,0.016860455380029254,0.021032492335120775,0.01897528005548256,2.184399029652519e-05,0.06420500707277528,0.06560281592209224,0,4,1728,227,0.011833430504063254,0.10445603248827041,0.001912383894599984,0.7320167067695484,0.0,0.0,0,0.0,58,58,67,0.3251431662336906,3.6556050803470215,0.13005726649347624
778,8,63,0.2857142857142776,93,0.13061222453942098,3,0.6162975422857676,0.0013516152040558768,0.011827559671716573,0.20576923076923076,0.17466465750954674,0.6402662113662496,589,281,678,142,0.8051118994446304,0.3682742689202272,2587,3383,0.26568441212021976,0.029297238821943638,0.2977330779054917,0.6142857142857142,0.47494033412887826,0.5627705627705628,0.21453873402125365,0.7490238611713667,0.16742081447963786,0.34737113807498715,0.1283987897045381,0.06857387920772368,0.007070474132116032,0.003920430702504692,0.011895413678236107,0.01056023455195006,0.013094890462450144,0.011844586926796631,0.0003284241789982506,0.1306094575680729,0.04441249220704386,0,5,2587,3383,0.06963981283615887,0.2602718431076795,0.00045036696124177677,0.6593272318662917,0.0,0.0,1,0.0,71,76,3,0.3457287778867242,2.1434001293036005,0.13829151115468968
784,8,29,0.2380952380952408,175,0.049503440220629934,3,0.6443323053920194,0.0025452380023437966,0.014878520893999438,0.5384615384615384,0.576795523185802,0.2926931251959998,593,285,683,180,0.8091817306519957,0.1191091667573198,2816,4086,0.3041360991259683,0.006822302312262453,0.2978927203065134,0.3142857142857143,0.07517899761336515,0.8138528138528138,0.5148621592484214,0.42711496746203914,0.6244343891402715,0.20224823183812396,0.0464072126567713,0.02324052803650676,0.0022302942147478765,0.003502936987800986,0.015463154579223159,0.010704307398435595,0.019052753068138223,0.01502858451917837,7.0611266984032894e-06,0.046691864142960234,0.03406974632927697,0,5,2816,4086,0.0022611072256300056,0.043066809884265866,0.00036872765477786963,0.6024318133769921,0.0,0.0,0,0.0,60,60,55,0.2960261491339531,3.716042321654209,0.11841045965358124
861,8,63,0.4285714285714306,89,0.043402126688939356,3,0.649004765909728,0.0004233095371896591,0.004928997352443651,0.37884615384615383,0.28757671180830613,0.248266490121607,647,359,38,100,0.9117038993931028,0.3539377908392039,3964,3450,0.3277032621294915,0.01609359543216804,0.419859514687101,0.44285714285714284,0.08472553699284009,0.6493506493506493,0.10365008470660712,0.5140997830802604,0.6742081447963804,0.18752753127807154,0.04036306499822057,0.019968628065524154,0.001888543933170809,0.0011253591850150567,0.005025298907758996,0.003952867364910351,0.005905131707917676,0.004953385274697494,0.00015703272480513476,0.10729802626721849,0.11130221788830877,0,4,3964,3450,0.005729992890016714,0.07125629553695913,0.0015409760233142896,0.43856424381557474,0.0,0.0,1,0.0,66,65,72,0.3555301978417631,4.010892865886462,0.14221207913670525
867,8,29,0.6666666666666572,59,0.0011543012416482309,3,0.08036632090458834,0.0003887788843019239,0.004276430646566483,0.5576923076923076,0.5723747335612954,0.8300376319732394,649,361,142,115,0.13814639766958953,0.25499375234033916,260,3860,0.047378060087583024,0.0007846709205662351,0.36797573435504477,0.3285714285714286,0.0883054892601432,0.17922077922077917,0.4424765131680271,0.5026030368763559,0.6651583710407238,0.07118390310372703,0.007322155844668599,0.02646630771367359,0.018818023243651137,0.00027960442571141553,0.004457755757887799,0.003027682394020184,0.005525184486952942,0.004323065319974747,0.0001887256010645525,0.11150432566795201,0.0843487615302135,4,4,260,3860,0.005068885982401185,0.06674359991276714,0.0008042892870342201,0.5890525459326161,0.0,0.0,1,0.0,35,35,60,0.7886143527136669,1.324295401671565,0.31544574108546675
1014,8,1,0.5714285714285694,88,0.1558062528073379,3,0.611625081768059,0.0014587793521452512,0.013522538128540387,0.28846153846153844,0.17466465750954674,0.7055994982403568,761,506,203,140,0.21643545966358868,0.4182545300250528,437,3227,0.23529517561567662,0.02964491701424844,0.28176883780332057,0.819047619047619,0.6217183770883055,0.7619047619047619,0.14369320807022948,0.7872017353579177,0.1131221719457014,0.38250765986668467,0.15436790153288404,0.0832155191686389,0.008664639499648205,0.004139149674151177,0.013675019986390665,0.011490775642780159,0.015554309705936175,0.013560943328241544,0.00037922105710350515,0.13525437516511418,0.07566886920260621,0,5,437,3227,0.1044500375464675,0.31985152645889753,0.00041373993724810345,0.6847174406319825,0.0,0.0,1,0.0,47,47,33,0.34359124785856116,1.9407148268795997,0.13743649914342446
1015,8,1,0.5714285714285694,34,0.13565103019300437,3,0.6162975422857676,0.0024235207584483317,0.018946469190376593,0.25,0.3997965084455435,0.40071082616119025,761,506,203,140,0.21643545966358868,0.4182545300250528,437,3227,0.23529517561567662,0.02964491701424844,0.28176883780332057,0.7904761904761904,0.6097852028639618,0.7619047619047619,0.14369320807022948,0.7872017353579177,0.1131221719457014,0.35434508521482666,0.13336347117834726,0.07125389781905057,0.007350275731128495,0.005727690415792448,0.01910681611285492,0.016480781055173258,0.02141216835892565,0.018986780484505316,0.00019292812431800113,0.11368708054717491,0.03406974632927697,0,5,437,3227,0.1044500375464675,0.31985152645889753,0.00040909304496215544,0.6720836401676684,0.0,0.0,1,0.0,47,47,33,0.3587136532564561,2.1032174549233096,0.14348546130258244
984,8,29,0.2380952380952408,183,0.002039673660019333,3,0.11774600504625735,2.300163182298749e-05,0.0005220533647017347,0.0,0.5661637334260636,0.2460887138924701,738,472,188,240,0.19581339819603585,0.6151286318292539,396,364,0.4002653166403396,0.001787693580391181,0.09698116219667946,0.18095238095238095,0.03579952267303102,0.44155844155844154,0.27768365932542743,0.17830802603036883,0.7963800904977374,0.08219283848414925,0.009328556232519238,0.02389679746096523,0.012167048126917462,7.004159602299344e-05,0.0005219862785911621,0.0005242895632341826,0.0005198171561628503,0.000522036573692859,0.00034363934439621523,0.13244015104959309,0.10831424887374413,4,6,396,364,0.00013838591141993904,0.007848772835505571,2.8397215403083858e-05,0.3656535365963857,0.0,0.0,1,0.0,77,77,9,0.6701262216313792,1.642630973161414,0.2680504886525517
1489,9,21,0.7142857142857082,77,0.0006982002988509964,0,0.05625642463321185,2.127449059238125e-05,0.0006485087410039018,0.21153846153846154,0.5424659827804932,0.3889943900484337,1106,705,718,293,0.035638281625327964,0.525439919890966,73,89,0.5151862457075204,0.11176957208392868,0.43071519795657737,0.45238095238095233,0.12171837708830546,0.7445887445887446,0.4455567534267673,0.5915401301518439,0.5701357466063348,0.06255488303929171,0.005913175575077977,0.02901140214687759,0.027663200629091583,4.56810828780015e-05,0.0006484416633811597,0.0006507446566093198,0.0006462728153933135,0.0006484919521194486,0.01836820782846418,0.36542771249990164,0.37501787874826775,5,4,73,89,0.013067592590320325,0.11001002943101296,0.0017440548310823638,0.6489902628509965,0.0,0.0,1,0.0,65,66,26,0.5891180432852753,1.0939307154504998,0.23564721731411012
